'sample interval','ABPmean','ABPsys','ABPdias','C.O.','HR','PAPmean','PAPsys','PAPdias','PULSE','RESP','SpO2','Tblood'
53,79.000,113.000,62.000,9.490,107.000,29.000,38.000,20.000,98.000,31.000,86.000,37.300
54,80.000,115.000,63.000,9.490,108.000,32.000,41.000,25.000,99.000,30.000,85.000,37.300
55,81.000,114.000,64.000,9.490,108.000,32.000,40.000,25.000,107.000,30.000,84.000,37.300
56,82.000,116.000,65.000,9.490,109.000,32.000,41.000,25.000,108.000,30.000,84.000,37.300
57,81.000,114.000,65.000,9.490,109.000,32.000,40.000,25.000,108.000,30.000,83.000,37.300
58,80.000,113.000,64.000,9.490,109.000,29.000,37.000,20.000,108.000,33.000,83.000,37.300
59,79.000,112.000,63.000,9.490,109.000,29.000,37.000,19.000,108.000,33.000,83.000,37.300
60,80.000,114.000,63.000,9.490,109.000,29.000,37.000,19.000,108.000,31.000,83.000,37.300
61,80.000,114.000,65.000,9.490,109.000,29.000,37.000,19.000,108.000,34.000,83.000,37.300
62,80.000,114.000,65.000,9.490,109.000,29.000,37.000,19.000,108.000,34.000,83.000,37.300
63,81.000,114.000,66.000,9.490,109.000,29.000,37.000,19.000,103.000,35.000,82.000,37.300
64,81.000,114.000,65.000,9.490,109.000,28.000,36.000,19.000,103.000,35.000,82.000,37.300
65,81.000,114.000,65.000,9.490,109.000,32.000,39.000,27.000,102.000,34.000,82.000,37.300
66,82.000,114.000,65.000,9.490,109.000,32.000,39.000,27.000,102.000,34.000,82.000,37.300
67,81.000,114.000,66.000,9.490,109.000,32.000,39.000,27.000,108.000,34.000,82.000,37.300
68,81.000,113.000,66.000,9.490,109.000,32.000,39.000,27.000,108.000,29.000,82.000,37.300
69,80.000,113.000,65.000,9.490,109.000,32.000,39.000,26.000,107.000,29.000,82.000,37.300
70,81.000,114.000,66.000,9.490,109.000,32.000,40.000,27.000,107.000,29.000,82.000,37.300
71,79.000,112.000,65.000,9.490,108.000,32.000,39.000,26.000,107.000,29.000,82.000,37.300
72,79.000,112.000,64.000,9.490,107.000,29.000,38.000,23.000,107.000,29.000,82.000,37.300
73,80.000,114.000,64.000,9.490,107.000,30.000,38.000,24.000,106.000,29.000,82.000,37.300
74,79.000,113.000,64.000,9.490,107.000,30.000,38.000,24.000,106.000,28.000,82.000,37.300
75,78.000,112.000,64.000,9.490,107.000,27.000,35.000,19.000,106.000,22.000,82.000,37.300
76,79.000,112.000,63.000,9.490,107.000,26.000,35.000,15.000,106.000,22.000,82.000,37.300
77,80.000,114.000,65.000,9.490,107.000,27.000,36.000,16.000,107.000,22.000,82.000,37.300
78,80.000,114.000,64.000,9.490,107.000,27.000,36.000,16.000,107.000,22.000,82.000,37.300
79,81.000,114.000,65.000,9.490,107.000,28.000,37.000,18.000,107.000,22.000,82.000,37.300
80,81.000,114.000,66.000,9.490,107.000,28.000,37.000,18.000,107.000,21.000,82.000,37.300
81,80.000,112.000,64.000,9.490,107.000,27.000,36.000,15.000,107.000,21.000,82.000,37.300
82,80.000,113.000,64.000,9.490,107.000,27.000,36.000,15.000,106.000,21.000,82.000,37.300
83,79.000,113.000,64.000,9.490,107.000,27.000,37.000,16.000,106.000,21.000,82.000,37.300
84,78.000,111.000,63.000,9.490,106.000,27.000,36.000,16.000,105.000,20.000,82.000,37.300
85,76.000,109.000,62.000,9.490,106.000,27.000,36.000,17.000,105.000,20.000,82.000,37.300
86,78.000,110.000,62.000,9.490,106.000,27.000,36.000,17.000,105.000,20.000,82.000,37.300
87,78.000,109.000,62.000,9.490,106.000,27.000,36.000,17.000,105.000,18.000,81.000,37.300
88,78.000,109.000,62.000,9.490,106.000,27.000,36.000,17.000,105.000,18.000,81.000,37.300
89,77.000,109.000,62.000,9.490,106.000,30.000,38.000,22.000,105.000,18.000,82.000,37.300
90,77.000,108.000,62.000,9.490,106.000,29.000,37.000,19.000,105.000,17.000,82.000,37.300
91,77.000,109.000,61.000,9.490,106.000,30.000,38.000,20.000,105.000,17.000,82.000,37.300
92,77.000,109.000,61.000,9.490,105.000,30.000,38.000,20.000,104.000,17.000,82.000,37.300
93,76.000,109.000,61.000,9.490,105.000,30.000,38.000,20.000,104.000,17.000,82.000,37.300
94,77.000,110.000,61.000,9.490,105.000,30.000,38.000,20.000,104.000,17.000,82.000,37.300
95,78.000,111.000,62.000,9.490,105.000,30.000,39.000,21.000,104.000,17.000,82.000,37.300
96,77.000,110.000,62.000,9.490,105.000,28.000,36.000,20.000,105.000,17.000,82.000,37.300
97,77.000,110.000,61.000,9.490,105.000,26.000,36.000,16.000,105.000,17.000,82.000,37.300
98,78.000,110.000,61.000,9.490,105.000,27.000,36.000,16.000,106.000,17.000,83.000,37.300
99,78.000,111.000,63.000,9.490,105.000,27.000,36.000,16.000,106.000,20.000,82.000,37.300
100,79.000,111.000,63.000,9.490,106.000,27.000,36.000,16.000,106.000,20.000,82.000,37.300
101,79.000,112.000,63.000,9.490,106.000,29.000,38.000,20.000,106.000,20.000,82.000,37.300
102,78.000,111.000,62.000,9.490,106.000,29.000,38.000,20.000,106.000,19.000,82.000,37.300
103,78.000,110.000,62.000,9.490,106.000,29.000,38.000,19.000,105.000,19.000,82.000,37.300
104,78.000,111.000,62.000,9.490,106.000,30.000,39.000,21.000,105.000,19.000,82.000,37.300
105,77.000,110.000,62.000,9.490,106.000,30.000,39.000,21.000,105.000,19.000,82.000,37.300
106,76.000,108.000,61.000,9.490,105.000,27.000,36.000,16.000,104.000,18.000,82.000,37.300
107,76.000,108.000,60.000,9.490,105.000,27.000,37.000,16.000,104.000,18.000,82.000,37.300
108,77.000,109.000,61.000,9.490,105.000,28.000,37.000,17.000,104.000,18.000,82.000,37.300
109,77.000,109.000,61.000,9.490,105.000,28.000,38.000,18.000,104.000,19.000,82.000,37.300
110,76.000,107.000,61.000,9.490,105.000,28.000,37.000,18.000,104.000,19.000,82.000,37.300
111,76.000,107.000,61.000,9.490,105.000,28.000,36.000,18.000,104.000,20.000,83.000,37.300
112,76.000,108.000,61.000,9.490,105.000,31.000,40.000,24.000,104.000,20.000,83.000,37.300
113,76.000,108.000,61.000,9.490,105.000,32.000,40.000,23.000,104.000,20.000,83.000,37.300
114,77.000,107.000,61.000,9.490,105.000,30.000,40.000,21.000,104.000,20.000,83.000,37.300
115,77.000,108.000,61.000,9.490,105.000,31.000,40.000,24.000,104.000,20.000,83.000,37.300
116,77.000,108.000,61.000,9.490,105.000,31.000,40.000,22.000,104.000,20.000,83.000,37.300
117,75.000,106.000,60.000,9.490,105.000,30.000,40.000,22.000,104.000,20.000,83.000,37.300
118,74.000,105.000,59.000,9.490,105.000,30.000,40.000,21.000,104.000,20.000,83.000,37.300
119,75.000,107.000,58.000,9.490,105.000,31.000,41.000,22.000,112.000,20.000,83.000,37.300
120,76.000,109.000,60.000,9.490,105.000,31.000,40.000,23.000,112.000,20.000,83.000,37.300
121,77.000,110.000,60.000,9.490,107.000,30.000,38.000,22.000,112.000,20.000,83.000,37.300
122,79.000,113.000,62.000,9.490,107.000,31.000,40.000,23.000,112.000,19.000,83.000,37.200
123,79.000,114.000,62.000,9.490,108.000,31.000,40.000,23.000,112.000,18.000,83.000,37.300
124,79.000,114.000,62.000,9.490,108.000,30.000,39.000,21.000,106.000,18.000,83.000,37.300
125,79.000,114.000,62.000,9.490,108.000,30.000,39.000,21.000,106.000,17.000,83.000,37.300
126,79.000,115.000,62.000,9.490,108.000,31.000,39.000,22.000,106.000,16.000,83.000,37.300
127,79.000,115.000,63.000,9.490,106.000,31.000,39.000,22.000,105.000,19.000,83.000,37.300
128,78.000,112.000,62.000,9.490,106.000,30.000,39.000,22.000,105.000,19.000,83.000,37.300
129,78.000,113.000,61.000,9.490,106.000,30.000,39.000,21.000,105.000,19.000,83.000,37.300
130,78.000,113.000,61.000,9.490,106.000,30.000,39.000,21.000,105.000,19.000,83.000,37.300
131,79.000,113.000,62.000,9.490,110.000,31.000,39.000,23.000,106.000,19.000,83.000,37.300
132,80.000,114.000,63.000,9.490,109.000,31.000,39.000,23.000,106.000,19.000,83.000,37.300
133,81.000,116.000,63.000,9.490,109.000,31.000,39.000,19.000,106.000,19.000,83.000,37.300
134,80.000,116.000,63.000,9.490,109.000,30.000,38.000,20.000,106.000,19.000,83.000,37.300
135,80.000,116.000,63.000,9.490,109.000,30.000,38.000,20.000,106.000,18.000,83.000,37.300
136,81.000,116.000,63.000,9.490,109.000,30.000,38.000,20.000,106.000,18.000,83.000,37.300
137,81.000,116.000,64.000,9.490,108.000,30.000,38.000,21.000,106.000,18.000,83.000,37.300
138,79.000,113.000,63.000,9.490,107.000,29.000,38.000,20.000,106.000,18.000,83.000,37.300
139,78.000,113.000,61.000,9.490,106.000,29.000,39.000,19.000,106.000,18.000,83.000,37.300
140,78.000,113.000,61.000,9.490,106.000,29.000,39.000,19.000,106.000,18.000,83.000,37.300
141,78.000,113.000,61.000,9.490,109.000,30.000,39.000,20.000,102.000,17.000,83.000,37.300
142,78.000,113.000,61.000,9.490,109.000,30.000,39.000,21.000,102.000,19.000,83.000,37.300
143,78.000,113.000,61.000,9.490,107.000,30.000,39.000,21.000,101.000,18.000,84.000,37.300
144,78.000,113.000,61.000,9.490,107.000,30.000,38.000,18.000,101.000,17.000,84.000,37.300
145,77.000,113.000,60.000,9.490,106.000,29.000,37.000,17.000,103.000,22.000,84.000,37.300
146,78.000,113.000,61.000,9.490,106.000,29.000,37.000,17.000,103.000,22.000,84.000,37.300
147,78.000,113.000,61.000,9.490,105.000,29.000,38.000,17.000,103.000,22.000,85.000,37.300
148,77.000,112.000,61.000,9.490,104.000,29.000,37.000,18.000,103.000,22.000,85.000,37.300
149,77.000,112.000,60.000,9.490,104.000,27.000,36.000,15.000,103.000,19.000,86.000,37.300
150,78.000,111.000,60.000,9.490,104.000,27.000,36.000,15.000,104.000,19.000,86.000,37.300
151,78.000,112.000,61.000,9.490,104.000,28.000,37.000,16.000,104.000,19.000,86.000,37.300
152,78.000,111.000,61.000,9.490,105.000,28.000,36.000,16.000,104.000,19.000,87.000,37.300
153,77.000,110.000,61.000,9.490,105.000,27.000,35.000,18.000,105.000,18.000,87.000,37.300
154,77.000,109.000,60.000,9.490,105.000,27.000,35.000,18.000,105.000,18.000,87.000,37.300
155,77.000,111.000,61.000,9.490,105.000,27.000,36.000,19.000,105.000,18.000,88.000,37.300
156,76.000,110.000,60.000,9.490,106.000,27.000,35.000,18.000,105.000,18.000,88.000,37.300
157,75.000,108.000,59.000,9.490,106.000,26.000,35.000,15.000,105.000,21.000,88.000,37.300
158,75.000,107.000,58.000,9.490,106.000,26.000,34.000,16.000,104.000,20.000,88.000,37.300
159,75.000,107.000,59.000,9.490,105.000,26.000,35.000,16.000,104.000,19.000,88.000,37.300
160,75.000,107.000,59.000,9.490,105.000,26.000,35.000,16.000,104.000,18.000,88.000,37.300
161,74.000,106.000,59.000,9.490,105.000,28.000,36.000,19.000,104.000,17.000,89.000,37.300
162,74.000,105.000,58.000,9.490,104.000,29.000,37.000,21.000,104.000,19.000,89.000,37.300
163,74.000,106.000,59.000,9.490,104.000,29.000,37.000,21.000,104.000,19.000,89.000,37.300
164,74.000,106.000,59.000,9.490,104.000,29.000,38.000,19.000,104.000,19.000,89.000,37.300
165,74.000,105.000,59.000,9.490,104.000,29.000,37.000,20.000,104.000,19.000,90.000,37.300
166,73.000,105.000,59.000,9.490,104.000,28.000,37.000,20.000,104.000,19.000,90.000,37.300
167,72.000,102.000,57.000,9.490,104.000,28.000,38.000,19.000,104.000,19.000,90.000,37.300
168,73.000,103.000,57.000,9.490,105.000,30.000,39.000,21.000,104.000,18.000,90.000,37.200
169,74.000,104.000,57.000,9.490,105.000,29.000,38.000,22.000,104.000,18.000,90.000,37.200
170,74.000,104.000,58.000,9.490,106.000,30.000,38.000,22.000,104.000,18.000,90.000,37.200
171,74.000,105.000,59.000,9.490,106.000,29.000,37.000,20.000,105.000,18.000,90.000,37.300
172,75.000,105.000,59.000,9.490,107.000,29.000,36.000,20.000,105.000,17.000,90.000,37.300
173,75.000,106.000,59.000,9.490,107.000,28.000,36.000,20.000,105.000,17.000,90.000,37.200
174,76.000,107.000,60.000,9.490,107.000,30.000,37.000,22.000,106.000,17.000,90.000,37.200
175,76.000,107.000,60.000,9.490,107.000,30.000,37.000,22.000,106.000,18.000,90.000,37.200
176,76.000,106.000,60.000,9.490,105.000,29.000,37.000,19.000,107.000,18.000,90.000,37.200
177,75.000,106.000,60.000,9.490,105.000,28.000,37.000,18.000,107.000,18.000,90.000,37.200
178,75.000,106.000,60.000,9.490,107.000,29.000,36.000,20.000,107.000,18.000,90.000,37.200
179,75.000,106.000,60.000,9.490,107.000,28.000,36.000,18.000,107.000,18.000,90.000,37.200
180,75.000,105.000,60.000,9.490,107.000,28.000,36.000,18.000,107.000,18.000,90.000,37.200
181,75.000,105.000,60.000,9.490,107.000,29.000,36.000,20.000,107.000,19.000,90.000,37.200
182,75.000,104.000,60.000,9.490,107.000,28.000,36.000,20.000,106.000,18.000,90.000,37.200
183,75.000,105.000,59.000,9.490,107.000,28.000,37.000,18.000,106.000,17.000,91.000,37.200
184,75.000,104.000,60.000,9.490,107.000,27.000,38.000,17.000,107.000,16.000,91.000,37.200
185,76.000,106.000,60.000,9.490,107.000,27.000,39.000,19.000,107.000,15.000,91.000,37.200
186,77.000,107.000,61.000,9.490,108.000,28.000,38.000,19.000,108.000,16.000,91.000,37.200
187,78.000,108.000,62.000,9.490,108.000,29.000,38.000,20.000,108.000,16.000,91.000,37.200
188,78.000,108.000,62.000,9.490,108.000,29.000,37.000,17.000,108.000,16.000,91.000,37.200
189,78.000,108.000,62.000,9.490,109.000,29.000,37.000,18.000,108.000,17.000,91.000,37.200
190,78.000,108.000,62.000,9.490,109.000,28.000,36.000,18.000,108.000,21.000,91.000,37.200
191,78.000,107.000,62.000,9.490,109.000,28.000,36.000,17.000,108.000,21.000,91.000,37.200
192,78.000,108.000,62.000,9.490,109.000,28.000,36.000,18.000,108.000,20.000,90.000,37.200
193,77.000,107.000,62.000,9.490,108.000,28.000,37.000,17.000,108.000,19.000,90.000,37.200
194,77.000,106.000,61.000,9.490,108.000,27.000,36.000,16.000,108.000,18.000,90.000,37.200
195,76.000,105.000,60.000,9.490,108.000,26.000,35.000,14.000,107.000,21.000,90.000,37.200
196,76.000,105.000,61.000,9.490,108.000,26.000,36.000,14.000,107.000,21.000,90.000,37.200
197,76.000,105.000,60.000,9.490,108.000,27.000,36.000,15.000,107.000,21.000,90.000,37.200
198,75.000,105.000,60.000,9.490,108.000,27.000,36.000,16.000,107.000,21.000,90.000,37.200
199,75.000,104.000,59.000,9.490,108.000,27.000,35.000,15.000,107.000,20.000,90.000,37.200
200,76.000,104.000,59.000,9.490,108.000,29.000,38.000,17.000,107.000,20.000,90.000,37.200
201,76.000,106.000,60.000,9.490,107.000,29.000,38.000,17.000,107.000,20.000,90.000,37.200
202,76.000,105.000,60.000,9.490,107.000,27.000,35.000,14.000,107.000,20.000,90.000,37.200
203,75.000,104.000,59.000,9.490,107.000,26.000,34.000,16.000,107.000,21.000,90.000,37.200
204,76.000,105.000,59.000,9.490,107.000,26.000,35.000,16.000,107.000,21.000,90.000,37.200
205,76.000,105.000,59.000,9.490,107.000,26.000,35.000,16.000,107.000,20.000,90.000,37.200
206,76.000,105.000,60.000,9.490,107.000,26.000,35.000,16.000,107.000,20.000,90.000,37.200
207,77.000,106.000,60.000,9.490,107.000,27.000,35.000,17.000,107.000,20.000,90.000,37.200
208,76.000,106.000,60.000,9.490,107.000,27.000,35.000,16.000,107.000,20.000,90.000,37.200
209,76.000,105.000,60.000,9.490,107.000,26.000,34.000,14.000,107.000,21.000,89.000,37.200
210,77.000,106.000,60.000,9.490,107.000,26.000,35.000,14.000,107.000,21.000,89.000,37.200
211,77.000,106.000,60.000,9.490,107.000,28.000,36.000,15.000,107.000,21.000,89.000,37.200
212,76.000,106.000,60.000,9.490,107.000,28.000,36.000,16.000,107.000,21.000,89.000,37.200
213,75.000,105.000,60.000,9.490,107.000,26.000,34.000,14.000,106.000,20.000,89.000,37.200
214,76.000,106.000,59.000,9.490,107.000,26.000,34.000,14.000,106.000,20.000,89.000,37.200
215,76.000,107.000,60.000,9.490,107.000,29.000,38.000,16.000,106.000,20.000,89.000,37.200
216,76.000,106.000,59.000,9.490,107.000,28.000,37.000,16.000,106.000,20.000,89.000,37.200
217,75.000,106.000,59.000,9.490,107.000,26.000,34.000,15.000,106.000,17.000,89.000,37.200
218,75.000,105.000,59.000,9.490,107.000,26.000,34.000,15.000,106.000,17.000,89.000,37.200
219,76.000,107.000,59.000,9.490,106.000,27.000,35.000,16.000,106.000,17.000,89.000,37.200
220,75.000,107.000,59.000,9.490,106.000,27.000,35.000,16.000,106.000,17.000,89.000,37.200
221,75.000,106.000,58.000,9.490,106.000,25.000,34.000,14.000,105.000,17.000,89.000,37.200
222,74.000,105.000,58.000,9.490,106.000,26.000,34.000,14.000,105.000,15.000,89.000,37.200
223,74.000,106.000,58.000,9.490,106.000,26.000,35.000,14.000,105.000,15.000,89.000,37.200
224,74.000,105.000,58.000,9.490,106.000,26.000,35.000,14.000,105.000,15.000,89.000,37.200
225,73.000,104.000,57.000,9.490,106.000,25.000,34.000,15.000,105.000,15.000,89.000,37.200
226,73.000,103.000,56.000,9.490,106.000,26.000,34.000,17.000,105.000,15.000,90.000,37.200
227,73.000,103.000,56.000,9.490,105.000,26.000,34.000,17.000,104.000,15.000,90.000,37.200
228,72.000,103.000,56.000,9.490,105.000,26.000,35.000,17.000,104.000,15.000,90.000,37.200
229,71.000,102.000,56.000,9.490,105.000,25.000,33.000,16.000,104.000,15.000,90.000,37.200
230,71.000,102.000,55.000,9.490,105.000,25.000,33.000,15.000,104.000,15.000,90.000,37.200
231,71.000,102.000,55.000,9.490,105.000,26.000,35.000,16.000,104.000,15.000,90.000,37.200
232,72.000,103.000,56.000,9.490,104.000,26.000,35.000,16.000,104.000,15.000,90.000,37.200
233,72.000,102.000,56.000,9.490,104.000,28.000,40.000,18.000,104.000,15.000,90.000,37.200
234,71.000,102.000,56.000,9.490,104.000,27.000,38.000,17.000,104.000,16.000,90.000,37.200
235,72.000,103.000,56.000,9.490,104.000,28.000,38.000,17.000,104.000,15.000,90.000,37.200
236,72.000,103.000,57.000,9.490,104.000,28.000,38.000,18.000,104.000,14.000,90.000,37.200
237,72.000,103.000,57.000,9.490,104.000,27.000,36.000,16.000,104.000,13.000,90.000,37.200
238,71.000,102.000,56.000,9.490,104.000,26.000,34.000,17.000,104.000,16.000,90.000,37.200
239,72.000,102.000,56.000,9.490,104.000,26.000,34.000,17.000,104.000,16.000,90.000,37.200
240,72.000,103.000,56.000,9.490,104.000,27.000,34.000,18.000,104.000,16.000,90.000,37.200
241,72.000,104.000,57.000,9.490,104.000,28.000,37.000,18.000,104.000,16.000,90.000,37.200
242,72.000,103.000,56.000,9.490,104.000,26.000,35.000,18.000,104.000,16.000,90.000,37.200
243,72.000,103.000,56.000,9.490,104.000,26.000,35.000,16.000,104.000,16.000,90.000,37.200
244,72.000,104.000,57.000,9.490,104.000,26.000,35.000,17.000,104.000,16.000,90.000,37.200
245,72.000,103.000,56.000,9.490,104.000,26.000,34.000,16.000,104.000,16.000,90.000,37.200
246,71.000,103.000,56.000,9.490,104.000,26.000,34.000,16.000,104.000,16.000,90.000,37.200
247,71.000,102.000,56.000,9.490,105.000,26.000,34.000,16.000,104.000,16.000,90.000,37.200
248,72.000,103.000,56.000,9.490,105.000,28.000,36.000,17.000,104.000,16.000,90.000,37.200
249,72.000,103.000,56.000,9.490,105.000,27.000,36.000,17.000,104.000,16.000,89.000,37.200
250,71.000,103.000,56.000,9.490,105.000,26.000,35.000,17.000,104.000,16.000,89.000,37.200
251,71.000,102.000,55.000,9.490,105.000,26.000,34.000,16.000,104.000,16.000,89.000,37.200
252,72.000,104.000,56.000,9.490,105.000,27.000,35.000,17.000,104.000,16.000,89.000,37.200
253,72.000,104.000,56.000,9.490,105.000,27.000,35.000,17.000,104.000,17.000,89.000,37.200
254,72.000,103.000,56.000,9.490,104.000,27.000,35.000,17.000,104.000,17.000,89.000,37.200
255,73.000,104.000,56.000,9.490,104.000,28.000,36.000,19.000,104.000,17.000,90.000,37.200
256,72.000,104.000,57.000,9.490,104.000,28.000,36.000,19.000,103.000,17.000,90.000,37.200
257,72.000,104.000,56.000,9.490,104.000,27.000,35.000,18.000,103.000,17.000,90.000,37.200
258,72.000,103.000,56.000,9.490,103.000,27.000,35.000,18.000,103.000,17.000,90.000,37.200
259,72.000,104.000,56.000,9.490,103.000,30.000,38.000,22.000,103.000,17.000,90.000,37.200
260,72.000,103.000,56.000,9.490,103.000,29.000,38.000,22.000,102.000,17.000,90.000,37.200
261,72.000,104.000,55.000,9.490,103.000,29.000,38.000,21.000,102.000,17.000,90.000,37.200
262,72.000,104.000,56.000,9.490,103.000,28.000,38.000,18.000,103.000,17.000,90.000,37.300
263,72.000,104.000,56.000,9.490,103.000,28.000,38.000,18.000,103.000,16.000,90.000,37.300
264,73.000,104.000,57.000,9.490,103.000,28.000,38.000,18.000,103.000,16.000,90.000,37.200
265,73.000,104.000,58.000,9.490,103.000,29.000,38.000,19.000,103.000,16.000,90.000,37.200
266,73.000,103.000,58.000,9.490,104.000,29.000,35.000,21.000,103.000,16.000,90.000,37.200
267,74.000,103.000,59.000,9.490,104.000,29.000,35.000,23.000,104.000,16.000,90.000,37.200
268,74.000,104.000,60.000,9.490,104.000,29.000,35.000,23.000,104.000,16.000,90.000,37.200
269,75.000,105.000,61.000,9.490,104.000,30.000,37.000,20.000,104.000,13.000,89.000,37.200
270,74.000,104.000,59.000,9.490,105.000,29.000,37.000,20.000,105.000,13.000,89.000,37.200
271,75.000,106.000,58.000,9.490,105.000,29.000,38.000,19.000,105.000,13.000,89.000,37.200
272,75.000,107.000,59.000,9.490,105.000,29.000,38.000,19.000,105.000,13.000,89.000,37.200
273,76.000,108.000,59.000,9.490,107.000,29.000,38.000,19.000,105.000,13.000,89.000,37.200
274,77.000,109.000,60.000,9.490,107.000,29.000,36.000,22.000,105.000,13.000,89.000,37.200
275,79.000,111.000,62.000,9.490,108.000,29.000,36.000,22.000,105.000,13.000,89.000,37.200
