'sample interval','ABPmean','ABPsys','ABPdias','CVP','HR','NBPmean','NBPsys','NBPdias','PULSE','RESP','SpO2'
41,116.000,152.000,90.000,12.000,96.000,0.000,0.000,0.000,96.000,14.000,93.000
42,117.000,153.000,91.000,12.000,96.000,0.000,0.000,0.000,96.000,14.000,93.000
43,117.000,153.000,91.000,12.000,96.000,0.000,0.000,0.000,96.000,14.000,93.000
44,118.000,155.000,92.000,12.000,96.000,0.000,0.000,0.000,96.000,14.000,93.000
45,118.000,155.000,92.000,12.000,95.000,0.000,0.000,0.000,96.000,14.000,92.000
46,119.000,156.000,93.000,13.000,95.000,0.000,0.000,0.000,95.000,14.000,92.000
47,118.000,156.000,93.000,13.000,94.000,0.000,0.000,0.000,95.000,15.000,92.000
48,118.000,155.000,92.000,13.000,94.000,0.000,0.000,0.000,93.000,15.000,93.000
49,118.000,155.000,92.000,13.000,93.000,0.000,0.000,0.000,92.000,15.000,93.000
50,117.000,155.000,92.000,13.000,93.000,0.000,0.000,0.000,91.000,15.000,93.000
51,117.000,154.000,91.000,13.000,91.000,0.000,0.000,0.000,90.000,15.000,93.000
52,117.000,154.000,91.000,13.000,91.000,0.000,0.000,0.000,89.000,15.000,94.000
53,117.000,155.000,92.000,13.000,90.000,0.000,0.000,0.000,89.000,16.000,94.000
54,118.000,155.000,92.000,13.000,90.000,0.000,0.000,0.000,89.000,16.000,94.000
55,118.000,155.000,92.000,12.000,89.000,0.000,0.000,0.000,89.000,16.000,94.000
56,118.000,155.000,92.000,12.000,89.000,0.000,0.000,0.000,90.000,16.000,94.000
57,118.000,155.000,92.000,14.000,90.000,0.000,0.000,0.000,90.000,16.000,94.000
58,118.000,155.000,92.000,14.000,90.000,0.000,0.000,0.000,90.000,16.000,95.000
59,118.000,155.000,92.000,13.000,90.000,0.000,0.000,0.000,91.000,16.000,95.000
60,118.000,155.000,92.000,12.000,90.000,0.000,0.000,0.000,91.000,16.000,95.000
61,118.000,155.000,92.000,13.000,91.000,0.000,0.000,0.000,91.000,16.000,95.000
62,119.000,156.000,93.000,13.000,92.000,0.000,0.000,0.000,91.000,17.000,95.000
63,119.000,156.000,93.000,12.000,92.000,0.000,0.000,0.000,92.000,17.000,95.000
64,119.000,156.000,93.000,12.000,93.000,0.000,0.000,0.000,93.000,17.000,95.000
65,119.000,156.000,93.000,12.000,93.000,0.000,0.000,0.000,93.000,17.000,95.000
66,119.000,156.000,93.000,12.000,94.000,0.000,0.000,0.000,93.000,17.000,95.000
67,119.000,156.000,93.000,12.000,94.000,0.000,0.000,0.000,93.000,17.000,95.000
68,119.000,156.000,93.000,12.000,95.000,0.000,0.000,0.000,93.000,16.000,95.000
69,119.000,156.000,93.000,12.000,95.000,0.000,0.000,0.000,93.000,17.000,96.000
70,118.000,155.000,92.000,12.000,95.000,0.000,0.000,0.000,93.000,15.000,95.000
71,118.000,154.000,92.000,12.000,95.000,0.000,0.000,0.000,89.000,15.000,95.000
72,117.000,154.000,92.000,12.000,96.000,0.000,0.000,0.000,89.000,15.000,95.000
73,117.000,153.000,91.000,12.000,95.000,0.000,0.000,0.000,89.000,15.000,95.000
74,117.000,153.000,91.000,12.000,96.000,0.000,0.000,0.000,89.000,15.000,95.000
75,117.000,153.000,92.000,12.000,96.000,0.000,0.000,0.000,89.000,14.000,95.000
76,118.000,154.000,92.000,12.000,96.000,0.000,0.000,0.000,89.000,14.000,95.000
77,118.000,154.000,92.000,13.000,96.000,0.000,0.000,0.000,89.000,14.000,95.000
78,118.000,154.000,92.000,13.000,96.000,0.000,0.000,0.000,89.000,14.000,95.000
79,117.000,154.000,92.000,13.000,96.000,0.000,0.000,0.000,89.000,14.000,95.000
80,118.000,155.000,92.000,13.000,96.000,0.000,0.000,0.000,89.000,14.000,95.000
81,118.000,155.000,92.000,13.000,95.000,0.000,0.000,0.000,89.000,14.000,95.000
82,118.000,156.000,93.000,14.000,95.000,0.000,0.000,0.000,89.000,14.000,95.000
83,118.000,156.000,93.000,14.000,92.000,0.000,0.000,0.000,89.000,14.000,96.000
84,119.000,156.000,93.000,14.000,91.000,0.000,0.000,0.000,89.000,15.000,96.000
85,119.000,156.000,93.000,13.000,89.000,0.000,0.000,0.000,89.000,15.000,96.000
86,119.000,157.000,93.000,13.000,88.000,0.000,0.000,0.000,89.000,15.000,96.000
87,120.000,157.000,94.000,14.000,87.000,0.000,0.000,0.000,89.000,16.000,96.000
88,120.000,157.000,94.000,14.000,86.000,0.000,0.000,0.000,89.000,16.000,95.000
89,121.000,158.000,95.000,14.000,86.000,0.000,0.000,0.000,88.000,17.000,95.000
90,121.000,158.000,95.000,14.000,87.000,0.000,0.000,0.000,88.000,17.000,95.000
91,121.000,158.000,95.000,14.000,88.000,0.000,0.000,0.000,89.000,22.000,95.000
92,121.000,158.000,95.000,13.000,88.000,0.000,0.000,0.000,90.000,22.000,95.000
93,121.000,158.000,95.000,13.000,88.000,0.000,0.000,0.000,91.000,22.000,95.000
94,121.000,158.000,95.000,13.000,90.000,0.000,0.000,0.000,91.000,22.000,95.000
95,121.000,158.000,95.000,13.000,91.000,0.000,0.000,0.000,92.000,21.000,95.000
96,121.000,158.000,95.000,13.000,91.000,0.000,0.000,0.000,93.000,20.000,95.000
97,121.000,158.000,95.000,13.000,93.000,0.000,0.000,0.000,93.000,21.000,94.000
98,120.000,157.000,94.000,13.000,93.000,0.000,0.000,0.000,94.000,21.000,94.000
99,119.000,156.000,94.000,13.000,94.000,0.000,0.000,0.000,95.000,21.000,94.000
100,119.000,156.000,93.000,12.000,94.000,0.000,0.000,0.000,95.000,21.000,94.000
101,119.000,155.000,92.000,12.000,95.000,0.000,0.000,0.000,95.000,21.000,94.000
102,118.000,155.000,92.000,12.000,95.000,0.000,0.000,0.000,95.000,21.000,94.000
103,118.000,154.000,92.000,12.000,96.000,0.000,0.000,0.000,95.000,21.000,93.000
104,118.000,154.000,92.000,12.000,96.000,0.000,0.000,0.000,96.000,21.000,93.000
105,118.000,154.000,92.000,12.000,96.000,0.000,0.000,0.000,96.000,18.000,93.000
106,117.000,154.000,91.000,12.000,96.000,0.000,0.000,0.000,96.000,18.000,93.000
107,117.000,153.000,91.000,12.000,96.000,0.000,0.000,0.000,96.000,18.000,93.000
108,117.000,153.000,91.000,13.000,97.000,0.000,0.000,0.000,96.000,18.000,93.000
109,117.000,153.000,91.000,12.000,97.000,0.000,0.000,0.000,96.000,16.000,94.000
110,116.000,152.000,91.000,12.000,97.000,0.000,0.000,0.000,96.000,16.000,94.000
111,116.000,152.000,91.000,13.000,97.000,0.000,0.000,0.000,96.000,16.000,94.000
112,116.000,152.000,91.000,12.000,97.000,0.000,0.000,0.000,96.000,16.000,94.000
113,116.000,152.000,91.000,12.000,96.000,0.000,0.000,0.000,96.000,16.000,94.000
114,117.000,153.000,91.000,12.000,96.000,0.000,0.000,0.000,96.000,15.000,94.000
115,117.000,153.000,92.000,12.000,96.000,0.000,0.000,0.000,96.000,15.000,94.000
116,117.000,153.000,92.000,12.000,96.000,0.000,0.000,0.000,96.000,15.000,94.000
117,118.000,154.000,93.000,12.000,96.000,0.000,0.000,0.000,96.000,15.000,94.000
118,119.000,155.000,93.000,12.000,95.000,0.000,0.000,0.000,96.000,15.000,94.000
119,119.000,155.000,93.000,12.000,95.000,0.000,0.000,0.000,95.000,15.000,94.000
120,119.000,155.000,93.000,12.000,95.000,0.000,0.000,0.000,95.000,15.000,94.000
121,119.000,156.000,94.000,12.000,95.000,0.000,0.000,0.000,95.000,14.000,94.000
122,119.000,156.000,94.000,12.000,95.000,0.000,0.000,0.000,95.000,14.000,94.000
123,119.000,156.000,94.000,12.000,96.000,0.000,0.000,0.000,95.000,14.000,94.000
124,119.000,155.000,93.000,12.000,96.000,0.000,0.000,0.000,95.000,14.000,94.000
125,119.000,156.000,94.000,12.000,96.000,0.000,0.000,0.000,95.000,14.000,94.000
126,120.000,156.000,94.000,12.000,96.000,0.000,0.000,0.000,95.000,14.000,94.000
127,120.000,157.000,95.000,14.000,96.000,0.000,0.000,0.000,95.000,13.000,94.000
128,120.000,157.000,95.000,14.000,96.000,0.000,0.000,0.000,95.000,13.000,94.000
129,119.000,157.000,94.000,14.000,96.000,0.000,0.000,0.000,95.000,15.000,95.000
130,119.000,156.000,94.000,13.000,97.000,0.000,0.000,0.000,95.000,15.000,95.000
131,119.000,156.000,93.000,12.000,96.000,0.000,0.000,0.000,95.000,15.000,95.000
132,119.000,156.000,93.000,12.000,96.000,0.000,0.000,0.000,95.000,15.000,95.000
133,119.000,157.000,93.000,12.000,95.000,0.000,0.000,0.000,95.000,14.000,95.000
134,120.000,157.000,93.000,13.000,95.000,0.000,0.000,0.000,95.000,13.000,95.000
135,120.000,158.000,94.000,13.000,94.000,0.000,0.000,0.000,95.000,16.000,95.000
136,120.000,157.000,93.000,13.000,92.000,0.000,0.000,0.000,95.000,16.000,95.000
137,119.000,157.000,93.000,12.000,92.000,0.000,0.000,0.000,95.000,16.000,95.000
138,119.000,157.000,93.000,13.000,92.000,0.000,0.000,0.000,95.000,16.000,95.000
139,119.000,157.000,93.000,13.000,91.000,0.000,0.000,0.000,95.000,16.000,95.000
140,119.000,157.000,93.000,13.000,92.000,0.000,0.000,0.000,95.000,15.000,95.000
141,119.000,156.000,93.000,14.000,92.000,0.000,0.000,0.000,95.000,16.000,95.000
142,120.000,157.000,93.000,15.000,92.000,0.000,0.000,0.000,97.000,16.000,95.000
143,120.000,157.000,94.000,15.000,92.000,0.000,0.000,0.000,97.000,17.000,95.000
144,120.000,157.000,94.000,14.000,93.000,0.000,0.000,0.000,97.000,17.000,95.000
145,119.000,156.000,93.000,14.000,93.000,0.000,0.000,0.000,97.000,17.000,94.000
146,119.000,156.000,93.000,14.000,93.000,0.000,0.000,0.000,97.000,17.000,93.000
147,119.000,156.000,93.000,13.000,94.000,0.000,0.000,0.000,97.000,17.000,93.000
148,118.000,155.000,93.000,13.000,95.000,0.000,0.000,0.000,97.000,17.000,93.000
149,118.000,155.000,92.000,13.000,95.000,0.000,0.000,0.000,94.000,17.000,93.000
150,118.000,154.000,92.000,13.000,95.000,0.000,0.000,0.000,94.000,17.000,93.000
151,117.000,154.000,92.000,12.000,95.000,0.000,0.000,0.000,94.000,17.000,93.000
152,117.000,154.000,92.000,12.000,95.000,0.000,0.000,0.000,95.000,17.000,93.000
153,118.000,154.000,92.000,12.000,95.000,0.000,0.000,0.000,95.000,17.000,93.000
154,118.000,155.000,92.000,13.000,95.000,0.000,0.000,0.000,95.000,17.000,93.000
155,118.000,155.000,92.000,12.000,95.000,0.000,0.000,0.000,95.000,17.000,93.000
156,118.000,155.000,92.000,12.000,95.000,0.000,0.000,0.000,95.000,17.000,93.000
157,118.000,154.000,92.000,12.000,96.000,0.000,0.000,0.000,95.000,17.000,94.000
158,118.000,154.000,92.000,12.000,96.000,0.000,0.000,0.000,95.000,17.000,94.000
159,117.000,154.000,92.000,12.000,96.000,0.000,0.000,0.000,95.000,17.000,94.000
160,117.000,154.000,92.000,12.000,96.000,0.000,0.000,0.000,96.000,17.000,94.000
161,118.000,154.000,92.000,12.000,96.000,0.000,0.000,0.000,96.000,15.000,94.000
162,117.000,154.000,92.000,12.000,96.000,0.000,0.000,0.000,96.000,15.000,94.000
163,117.000,153.000,91.000,12.000,96.000,0.000,0.000,0.000,96.000,15.000,94.000
164,117.000,153.000,91.000,14.000,97.000,0.000,0.000,0.000,96.000,15.000,94.000
165,117.000,153.000,91.000,14.000,97.000,0.000,0.000,0.000,96.000,15.000,94.000
166,117.000,153.000,92.000,14.000,97.000,0.000,0.000,0.000,96.000,15.000,94.000
167,117.000,153.000,92.000,14.000,97.000,0.000,0.000,0.000,96.000,15.000,95.000
168,118.000,153.000,92.000,14.000,97.000,0.000,0.000,0.000,96.000,15.000,95.000
169,118.000,154.000,93.000,14.000,97.000,0.000,0.000,0.000,96.000,16.000,95.000
170,119.000,154.000,93.000,13.000,96.000,0.000,0.000,0.000,96.000,16.000,95.000
171,119.000,155.000,94.000,14.000,96.000,0.000,0.000,0.000,96.000,15.000,95.000
172,119.000,156.000,94.000,13.000,96.000,0.000,0.000,0.000,96.000,15.000,95.000
173,120.000,156.000,95.000,14.000,97.000,0.000,0.000,0.000,96.000,15.000,95.000
174,121.000,157.000,95.000,14.000,97.000,0.000,0.000,0.000,96.000,15.000,95.000
175,122.000,158.000,96.000,14.000,97.000,0.000,0.000,0.000,96.000,15.000,95.000
176,122.000,158.000,96.000,14.000,97.000,0.000,0.000,0.000,96.000,16.000,95.000
177,122.000,158.000,97.000,13.000,97.000,0.000,0.000,0.000,96.000,16.000,95.000
178,123.000,159.000,97.000,13.000,97.000,0.000,0.000,0.000,96.000,16.000,95.000
179,123.000,159.000,97.000,13.000,97.000,0.000,0.000,0.000,97.000,16.000,95.000
180,123.000,159.000,97.000,13.000,97.000,0.000,0.000,0.000,97.000,16.000,95.000
181,123.000,159.000,97.000,13.000,98.000,0.000,0.000,0.000,97.000,17.000,95.000
182,122.000,159.000,96.000,13.000,98.000,0.000,0.000,0.000,97.000,17.000,95.000
183,122.000,158.000,96.000,12.000,98.000,0.000,0.000,0.000,97.000,17.000,95.000
184,122.000,158.000,96.000,12.000,98.000,0.000,0.000,0.000,97.000,17.000,95.000
185,122.000,158.000,95.000,13.000,98.000,0.000,0.000,0.000,97.000,16.000,95.000
186,121.000,158.000,95.000,13.000,97.000,0.000,0.000,0.000,97.000,15.000,95.000
187,121.000,158.000,95.000,13.000,97.000,0.000,0.000,0.000,97.000,14.000,94.000
188,120.000,158.000,94.000,13.000,96.000,0.000,0.000,0.000,97.000,13.000,94.000
189,120.000,157.000,94.000,13.000,96.000,0.000,0.000,0.000,97.000,12.000,93.000
190,119.000,157.000,93.000,13.000,96.000,0.000,0.000,0.000,97.000,16.000,93.000
191,118.000,155.000,92.000,13.000,96.000,0.000,0.000,0.000,97.000,16.000,93.000
192,117.000,154.000,91.000,13.000,95.000,0.000,0.000,0.000,96.000,16.000,93.000
193,116.000,153.000,90.000,13.000,95.000,0.000,0.000,0.000,95.000,16.000,93.000
194,115.000,152.000,90.000,13.000,95.000,0.000,0.000,0.000,93.000,16.000,93.000
195,115.000,152.000,89.000,13.000,94.000,0.000,0.000,0.000,93.000,16.000,93.000
196,115.000,152.000,89.000,13.000,94.000,0.000,0.000,0.000,93.000,16.000,93.000
197,115.000,152.000,90.000,13.000,94.000,0.000,0.000,0.000,93.000,16.000,93.000
198,116.000,152.000,90.000,14.000,94.000,0.000,0.000,0.000,93.000,16.000,93.000
199,116.000,152.000,91.000,13.000,93.000,0.000,0.000,0.000,93.000,16.000,93.000
200,117.000,153.000,91.000,14.000,93.000,0.000,0.000,0.000,93.000,16.000,93.000
201,118.000,153.000,92.000,13.000,93.000,0.000,0.000,0.000,93.000,16.000,93.000
202,119.000,154.000,93.000,13.000,93.000,0.000,0.000,0.000,93.000,16.000,93.000
203,120.000,156.000,95.000,13.000,93.000,0.000,0.000,0.000,93.000,16.000,93.000
204,122.000,157.000,96.000,13.000,94.000,0.000,0.000,0.000,93.000,15.000,93.000
205,123.000,158.000,97.000,13.000,94.000,0.000,0.000,0.000,93.000,15.000,93.000
206,123.000,159.000,97.000,13.000,95.000,0.000,0.000,0.000,93.000,15.000,93.000
207,123.000,159.000,97.000,13.000,95.000,0.000,0.000,0.000,93.000,15.000,93.000
208,122.000,159.000,97.000,13.000,96.000,0.000,0.000,0.000,93.000,16.000,93.000
209,121.000,158.000,96.000,12.000,97.000,0.000,0.000,0.000,93.000,16.000,93.000
210,121.000,157.000,95.000,12.000,97.000,0.000,0.000,0.000,93.000,16.000,93.000
211,121.000,157.000,95.000,12.000,97.000,0.000,0.000,0.000,94.000,16.000,93.000
212,121.000,157.000,95.000,12.000,97.000,0.000,0.000,0.000,94.000,15.000,93.000
213,121.000,158.000,95.000,12.000,97.000,0.000,0.000,0.000,94.000,14.000,94.000
214,121.000,158.000,95.000,12.000,97.000,0.000,0.000,0.000,95.000,13.000,94.000
215,122.000,158.000,95.000,12.000,97.000,0.000,0.000,0.000,96.000,16.000,95.000
216,121.000,158.000,95.000,12.000,97.000,0.000,0.000,0.000,96.000,14.000,95.000
217,121.000,157.000,95.000,12.000,97.000,0.000,0.000,0.000,97.000,14.000,95.000
218,120.000,157.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,14.000,95.000
219,119.000,156.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,16.000,95.000
220,119.000,155.000,93.000,12.000,98.000,0.000,0.000,0.000,97.000,16.000,95.000
221,118.000,155.000,93.000,12.000,98.000,0.000,0.000,0.000,97.000,16.000,95.000
222,118.000,155.000,93.000,13.000,98.000,0.000,0.000,0.000,97.000,16.000,96.000
223,118.000,155.000,93.000,12.000,98.000,0.000,0.000,0.000,97.000,18.000,95.000
224,118.000,155.000,93.000,12.000,97.000,0.000,0.000,0.000,97.000,18.000,95.000
225,119.000,155.000,93.000,12.000,97.000,0.000,0.000,0.000,97.000,18.000,95.000
226,119.000,155.000,93.000,12.000,97.000,0.000,0.000,0.000,97.000,17.000,95.000
227,119.000,155.000,93.000,12.000,97.000,0.000,0.000,0.000,97.000,17.000,95.000
228,120.000,156.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,17.000,94.000
229,120.000,156.000,94.000,12.000,97.000,0.000,0.000,0.000,97.000,17.000,94.000
230,120.000,156.000,94.000,12.000,97.000,0.000,0.000,0.000,97.000,17.000,94.000
231,121.000,157.000,95.000,12.000,98.000,0.000,0.000,0.000,97.000,17.000,94.000
232,121.000,157.000,95.000,12.000,97.000,0.000,0.000,0.000,97.000,17.000,94.000
233,121.000,157.000,95.000,12.000,98.000,0.000,0.000,0.000,97.000,17.000,95.000
234,121.000,158.000,95.000,12.000,98.000,0.000,0.000,0.000,97.000,17.000,95.000
235,121.000,158.000,95.000,13.000,98.000,0.000,0.000,0.000,97.000,16.000,95.000
236,121.000,157.000,95.000,12.000,98.000,0.000,0.000,0.000,97.000,16.000,95.000
237,120.000,157.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,16.000,95.000
238,120.000,157.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,16.000,95.000
239,120.000,157.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,16.000,95.000
240,120.000,157.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,16.000,95.000
241,120.000,157.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,14.000,95.000
242,120.000,157.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,14.000,95.000
243,120.000,156.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,14.000,94.000
244,120.000,156.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,14.000,94.000
245,120.000,156.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,14.000,94.000
246,120.000,157.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,14.000,94.000
247,120.000,157.000,95.000,12.000,98.000,0.000,0.000,0.000,97.000,15.000,94.000
248,120.000,156.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,15.000,94.000
249,120.000,156.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,15.000,94.000
250,119.000,157.000,94.000,12.000,98.000,0.000,0.000,0.000,97.000,15.000,94.000
251,120.000,157.000,94.000,13.000,97.000,0.000,0.000,0.000,97.000,15.000,94.000
252,120.000,158.000,94.000,12.000,97.000,0.000,0.000,0.000,92.000,15.000,94.000
253,121.000,158.000,94.000,12.000,95.000,0.000,0.000,0.000,91.000,15.000,94.000
254,121.000,159.000,95.000,13.000,95.000,0.000,0.000,0.000,89.000,15.000,94.000
255,121.000,159.000,95.000,13.000,94.000,0.000,0.000,0.000,88.000,14.000,94.000
256,121.000,159.000,95.000,13.000,93.000,0.000,0.000,0.000,88.000,14.000,94.000
257,121.000,160.000,95.000,13.000,92.000,0.000,0.000,0.000,90.000,14.000,94.000
258,121.000,160.000,95.000,13.000,92.000,0.000,0.000,0.000,90.000,15.000,94.000
259,121.000,159.000,95.000,13.000,91.000,0.000,0.000,0.000,91.000,15.000,94.000
260,121.000,159.000,95.000,14.000,91.000,0.000,0.000,0.000,91.000,15.000,94.000
261,120.000,158.000,94.000,14.000,91.000,0.000,0.000,0.000,91.000,15.000,94.000
262,121.000,158.000,95.000,14.000,91.000,0.000,0.000,0.000,91.000,15.000,94.000
263,121.000,158.000,95.000,14.000,91.000,0.000,0.000,0.000,91.000,15.000,94.000
264,121.000,159.000,95.000,14.000,92.000,0.000,0.000,0.000,91.000,15.000,95.000
265,121.000,159.000,95.000,14.000,92.000,0.000,0.000,0.000,91.000,16.000,95.000
266,121.000,159.000,96.000,14.000,92.000,0.000,0.000,0.000,91.000,16.000,95.000
267,121.000,159.000,95.000,14.000,92.000,0.000,0.000,0.000,91.000,16.000,95.000
268,121.000,159.000,95.000,13.000,93.000,0.000,0.000,0.000,91.000,18.000,95.000
269,121.000,158.000,95.000,12.000,94.000,0.000,0.000,0.000,92.000,18.000,95.000
270,121.000,158.000,95.000,12.000,95.000,0.000,0.000,0.000,92.000,18.000,95.000
271,121.000,158.000,94.000,12.000,96.000,0.000,0.000,0.000,93.000,18.000,95.000
272,122.000,160.000,95.000,12.000,96.000,0.000,0.000,0.000,93.000,19.000,95.000
273,122.000,160.000,96.000,12.000,97.000,0.000,0.000,0.000,93.000,21.000,95.000
274,122.000,160.000,95.000,15.000,97.000,0.000,0.000,0.000,93.000,21.000,95.000
275,122.000,160.000,95.000,15.000,98.000,0.000,0.000,0.000,95.000,23.000,95.000
276,121.000,159.000,95.000,12.000,98.000,0.000,0.000,0.000,95.000,23.000,95.000
277,121.000,159.000,94.000,12.000,98.000,0.000,0.000,0.000,95.000,23.000,95.000
278,121.000,159.000,94.000,12.000,98.000,0.000,0.000,0.000,96.000,23.000,95.000
279,122.000,160.000,95.000,12.000,98.000,0.000,0.000,0.000,97.000,23.000,95.000
280,123.000,161.000,96.000,12.000,98.000,0.000,0.000,0.000,97.000,21.000,95.000
281,124.000,162.000,97.000,12.000,97.000,0.000,0.000,0.000,97.000,21.000,95.000
282,124.000,162.000,97.000,12.000,97.000,0.000,0.000,0.000,97.000,21.000,95.000
283,124.000,162.000,97.000,12.000,96.000,0.000,0.000,0.000,97.000,21.000,95.000
284,124.000,162.000,97.000,12.000,96.000,0.000,0.000,0.000,96.000,21.000,95.000
285,123.000,161.000,96.000,12.000,96.000,0.000,0.000,0.000,96.000,21.000,94.000
286,122.000,160.000,95.000,12.000,96.000,0.000,0.000,0.000,96.000,21.000,94.000
287,121.000,159.000,94.000,12.000,96.000,0.000,0.000,0.000,96.000,21.000,94.000
288,121.000,158.000,94.000,12.000,96.000,0.000,0.000,0.000,96.000,17.000,94.000
289,120.000,158.000,94.000,12.000,97.000,0.000,0.000,0.000,97.000,17.000,94.000
290,119.000,157.000,93.000,12.000,97.000,0.000,0.000,0.000,97.000,17.000,94.000
291,119.000,156.000,93.000,13.000,97.000,0.000,0.000,0.000,97.000,17.000,94.000
292,118.000,155.000,92.000,12.000,98.000,0.000,0.000,0.000,97.000,17.000,93.000
293,118.000,155.000,92.000,12.000,98.000,0.000,0.000,0.000,97.000,17.000,93.000
294,118.000,155.000,92.000,12.000,98.000,0.000,0.000,0.000,97.000,17.000,93.000
295,118.000,155.000,92.000,13.000,97.000,0.000,0.000,0.000,97.000,17.000,93.000
296,119.000,155.000,93.000,13.000,97.000,0.000,0.000,0.000,97.000,15.000,94.000
297,119.000,156.000,93.000,13.000,97.000,0.000,0.000,0.000,96.000,15.000,94.000
298,119.000,156.000,93.000,12.000,97.000,0.000,0.000,0.000,95.000,15.000,94.000
299,118.000,155.000,93.000,12.000,97.000,0.000,0.000,0.000,95.000,15.000,94.000
